CustomerID,CustomerName,CustomerPhoneNumber,CustomerFaxNumber,CustomerCategory,CustomerBuyingGroup,CustomerCity,CustomerStateProvinceCode,CustomerStateProvince,CustomerCountry,CustomerContinent,CustomerRegion,CustomerSubregion
526,Wingtip Toys (Beekmantown, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Wingtip Toys,Beekmantown,NY,New York,United States,North America,Americas,Northern America
527,Wingtip Toys (Islip Terrace, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Wingtip Toys,Islip Terrace,NY,New York,United States,North America,Americas,Northern America
528,Wingtip Toys (Rich Creek, VA),(276) 555-0100,(276) 555-0101,Novelty Shop,Wingtip Toys,Rich Creek,VA,Virginia,United States,North America,Americas,Northern America
529,Wingtip Toys (Griswoldville, GA),(229) 555-0100,(229) 555-0101,Novelty Shop,Wingtip Toys,Griswoldville,GA,Georgia,United States,North America,Americas,Northern America
530,Wingtip Toys (East Mountain, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,East Mountain,TX,Texas,United States,North America,Americas,Northern America
531,Wingtip Toys (Omer, MI),(231) 555-0100,(231) 555-0101,Novelty Shop,Wingtip Toys,Omer,MI,Michigan,United States,North America,Americas,Northern America
532,Wingtip Toys (Waycross, GA),(229) 555-0100,(229) 555-0101,Novelty Shop,Wingtip Toys,Waycross,GA,Georgia,United States,North America,Americas,Northern America
533,Wingtip Toys (Nichols Hills, OK),(405) 555-0100,(405) 555-0101,Novelty Shop,Wingtip Toys,Nichols Hills,OK,Oklahoma,United States,North America,Americas,Northern America
534,Wingtip Toys (Plaquemine, LA),(225) 555-0100,(225) 555-0101,Novelty Shop,Wingtip Toys,Plaquemine,LA,Louisiana,United States,North America,Americas,Northern America
535,Wingtip Toys (Triadelphia, WV),(304) 555-0100,(304) 555-0101,Novelty Shop,Wingtip Toys,Triadelphia,WV,West Virginia,United States,North America,Americas,Northern America
536,Wingtip Toys (Ferney, SD),(605) 555-0100,(605) 555-0101,Novelty Shop,Wingtip Toys,Ferney,SD,South Dakota,United States,North America,Americas,Northern America
537,Wingtip Toys (Akhiok, AK),(907) 555-0100,(907) 555-0101,Novelty Shop,Wingtip Toys,Akhiok,AK,Alaska,United States,North America,Americas,Northern America
538,Wingtip Toys (Deeson, MS),(228) 555-0100,(228) 555-0101,Novelty Shop,Wingtip Toys,Deeson,MS,Mississippi,United States,North America,Americas,Northern America
539,Wingtip Toys (Nuangola, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Nuangola,PA,Pennsylvania,United States,North America,Americas,Northern America
540,Wingtip Toys (Weld, ME),(207) 555-0100,(207) 555-0101,Novelty Shop,Wingtip Toys,Weld,ME,Maine,United States,North America,Americas,Northern America
541,Wingtip Toys (Mickleton, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Wingtip Toys,Mickleton,NJ,New Jersey,United States,North America,Americas,Northern America
542,Wingtip Toys (Schererville, IN),(219) 555-0100,(219) 555-0101,Novelty Shop,Wingtip Toys,Schererville,IN,Indiana,United States,North America,Americas,Northern America
543,Wingtip Toys (Lexington Heights, MI),(231) 555-0100,(231) 555-0101,Novelty Shop,Wingtip Toys,Lexington Heights,MI,Michigan,United States,North America,Americas,Northern America
544,Wingtip Toys (Broomtown, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Wingtip Toys,Broomtown,AL,Alabama,United States,North America,Americas,Northern America
545,Wingtip Toys (Jamison, IA),(319) 555-0100,(319) 555-0101,Novelty Shop,Wingtip Toys,Jamison,IA,Iowa,United States,North America,Americas,Northern America
546,Wingtip Toys (Key Biscayne, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Wingtip Toys,Key Biscayne,FL,Florida,United States,North America,Americas,Northern America
547,Wingtip Toys (Chaseley, ND),(701) 555-0100,(701) 555-0101,Novelty Shop,Wingtip Toys,Chaseley,ND,North Dakota,United States,North America,Americas,Northern America
548,Wingtip Toys (Indian Creek, IL),(217) 555-0100,(217) 555-0101,Novelty Shop,Wingtip Toys,Indian Creek,IL,Illinois,United States,North America,Americas,Northern America
549,Wingtip Toys (Lake Ronkonkoma, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Wingtip Toys,Lake Ronkonkoma,NY,New York,United States,North America,Americas,Northern America
550,Wingtip Toys (Morrison Bluff, AR),(479) 555-0100,(479) 555-0101,Novelty Shop,Wingtip Toys,Morrison Bluff,AR,Arkansas,United States,North America,Americas,Northern America
551,Wingtip Toys (Huntingburg, IN),(219) 555-0100,(219) 555-0101,Novelty Shop,Wingtip Toys,Huntingburg,IN,Indiana,United States,North America,Americas,Northern America
552,Wingtip Toys (Shay, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Shay,PA,Pennsylvania,United States,North America,Americas,Northern America
553,Wingtip Toys (Helotes, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Helotes,TX,Texas,United States,North America,Americas,Northern America
554,Wingtip Toys (Hollandsburg, IN),(219) 555-0100,(219) 555-0101,Novelty Shop,Wingtip Toys,Hollandsburg,IN,Indiana,United States,North America,Americas,Northern America
555,Wingtip Toys (Liberty Grove, MD),(240) 555-0100,(240) 555-0101,Novelty Shop,Wingtip Toys,Liberty Grove,MD,Maryland,United States,North America,Americas,Northern America
556,Wingtip Toys (Morita, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Morita,TX,Texas,United States,North America,Americas,Northern America
557,Wingtip Toys (New Laguna, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Wingtip Toys,New Laguna,NM,New Mexico,United States,North America,Americas,Northern America
558,Wingtip Toys (Bourneville, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Wingtip Toys,Bourneville,OH,Ohio,United States,North America,Americas,Northern America
559,Wingtip Toys (Mendoza, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Mendoza,TX,Texas,United States,North America,Americas,Northern America
560,Wingtip Toys (Palmas del Mar, PR),(787) 555-0100,(787) 555-0101,Novelty Shop,Wingtip Toys,Palmas del Mar,PR,Puerto Rico (US Territory),United States,North America,Americas,Northern America
561,Wingtip Toys (Marion Junction, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Wingtip Toys,Marion Junction,AL,Alabama,United States,North America,Americas,Northern America
562,Wingtip Toys (Ware Shoals, SC),(803) 555-0100,(803) 555-0101,Novelty Shop,Wingtip Toys,Ware Shoals,SC,South Carolina,United States,North America,Americas,Northern America
563,Wingtip Toys (Lostine, OR),(458) 555-0100,(458) 555-0101,Novelty Shop,Wingtip Toys,Lostine,OR,Oregon,United States,North America,Americas,Northern America
564,Wingtip Toys (Tilleda, WI),(262) 555-0100,(262) 555-0101,Novelty Shop,Wingtip Toys,Tilleda,WI,Wisconsin,United States,North America,Americas,Northern America
565,Wingtip Toys (Wapiti, WY),(307) 555-0100,(307) 555-0101,Novelty Shop,Wingtip Toys,Wapiti,WY,Wyoming,United States,North America,Americas,Northern America
566,Wingtip Toys (Amado, AZ),(480) 555-0100,(480) 555-0101,Novelty Shop,Wingtip Toys,Amado,AZ,Arizona,United States,North America,Americas,Northern America
567,Wingtip Toys (Jeromesville, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Wingtip Toys,Jeromesville,OH,Ohio,United States,North America,Americas,Northern America
568,Wingtip Toys (Ovilla, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Ovilla,TX,Texas,United States,North America,Americas,Northern America
569,Wingtip Toys (West Frostproof, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Wingtip Toys,West Frostproof,FL,Florida,United States,North America,Americas,Northern America
570,Wingtip Toys (Flomaton, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Wingtip Toys,Flomaton,AL,Alabama,United States,North America,Americas,Northern America
571,Wingtip Toys (Pawlet, VT),(802) 555-0100,(802) 555-0101,Novelty Shop,Wingtip Toys,Pawlet,VT,Vermont,United States,North America,Americas,Northern America
572,Wingtip Toys (Trout Run, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Trout Run,PA,Pennsylvania,United States,North America,Americas,Northern America
573,Wingtip Toys (Marin City, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Wingtip Toys,Marin City,CA,California,United States,North America,Americas,Northern America
574,Wingtip Toys (Molalla, OR),(458) 555-0100,(458) 555-0101,Novelty Shop,Wingtip Toys,Molalla,OR,Oregon,United States,North America,Americas,Northern America
575,Wingtip Toys (Trumansburg, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Wingtip Toys,Trumansburg,NY,New York,United States,North America,Americas,Northern America
576,Wingtip Toys (Goodings Grove, IL),(217) 555-0100,(217) 555-0101,Novelty Shop,Wingtip Toys,Goodings Grove,IL,Illinois,United States,North America,Americas,Northern America
577,Wingtip Toys (Cherryplain, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Wingtip Toys,Cherryplain,NY,New York,United States,North America,Americas,Northern America
578,Wingtip Toys (Bell Acres, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Bell Acres,PA,Pennsylvania,United States,North America,Americas,Northern America
579,Wingtip Toys (Connoquenessing, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Connoquenessing,PA,Pennsylvania,United States,North America,Americas,Northern America
580,Wingtip Toys (Sarversville, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Sarversville,PA,Pennsylvania,United States,North America,Americas,Northern America
581,Wingtip Toys (Munich, ND),(701) 555-0100,(701) 555-0101,Novelty Shop,Wingtip Toys,Munich,ND,North Dakota,United States,North America,Americas,Northern America
582,Wingtip Toys (Montoya, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Wingtip Toys,Montoya,NM,New Mexico,United States,North America,Americas,Northern America
583,Wingtip Toys (Knights Landing, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Wingtip Toys,Knights Landing,CA,California,United States,North America,Americas,Northern America
584,Wingtip Toys (Cache, OK),(405) 555-0100,(405) 555-0101,Novelty Shop,Wingtip Toys,Cache,OK,Oklahoma,United States,North America,Americas,Northern America
585,Wingtip Toys (Towaco, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Wingtip Toys,Towaco,NJ,New Jersey,United States,North America,Americas,Northern America
586,Wingtip Toys (Lynne, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Wingtip Toys,Lynne,FL,Florida,United States,North America,Americas,Northern America
587,Wingtip Toys (Plata, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Plata,TX,Texas,United States,North America,Americas,Northern America
588,Wingtip Toys (Oak Point, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Oak Point,TX,Texas,United States,North America,Americas,Northern America
589,Wingtip Toys (Alcester, SD),(605) 555-0100,(605) 555-0101,Novelty Shop,Wingtip Toys,Alcester,SD,South Dakota,United States,North America,Americas,Northern America
590,Wingtip Toys (McAdenville, NC),(252) 555-0100,(252) 555-0101,Novelty Shop,Wingtip Toys,McAdenville,NC,North Carolina,United States,North America,Americas,Northern America
591,Wingtip Toys (Idaho City, ID),(208) 555-0100,(208) 555-0101,Novelty Shop,Wingtip Toys,Idaho City,ID,Idaho,United States,North America,Americas,Northern America
592,Wingtip Toys (Dunkerton, IA),(319) 555-0100,(319) 555-0101,Novelty Shop,Wingtip Toys,Dunkerton,IA,Iowa,United States,North America,Americas,Northern America
593,Wingtip Toys (Cuyamungue, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Wingtip Toys,Cuyamungue,NM,New Mexico,United States,North America,Americas,Northern America
594,Wingtip Toys (Marfa, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Marfa,TX,Texas,United States,North America,Americas,Northern America
595,Wingtip Toys (Accomac, VA),(276) 555-0100,(276) 555-0101,Novelty Shop,Wingtip Toys,Accomac,VA,Virginia,United States,North America,Americas,Northern America
596,Wingtip Toys (Cos Cob, CT),(203) 555-0100,(203) 555-0101,Novelty Shop,Wingtip Toys,Cos Cob,CT,Connecticut,United States,North America,Americas,Northern America
597,Wingtip Toys (Haycock, AK),(907) 555-0100,(907) 555-0101,Novelty Shop,Wingtip Toys,Haycock,AK,Alaska,United States,North America,Americas,Northern America
598,Wingtip Toys (Kapa'a, HI),(808) 555-0100,(808) 555-0101,Novelty Shop,Wingtip Toys,Kapa'a,HI,Hawaii,United States,North America,Americas,Northern America
599,Wingtip Toys (Dickworsham, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Dickworsham,TX,Texas,United States,North America,Americas,Northern America
600,Wingtip Toys (Caro, MI),(231) 555-0100,(231) 555-0101,Novelty Shop,Wingtip Toys,Caro,MI,Michigan,United States,North America,Americas,Northern America
601,Wingtip Toys (Ruthsburg, MD),(240) 555-0100,(240) 555-0101,Novelty Shop,Wingtip Toys,Ruthsburg,MD,Maryland,United States,North America,Americas,Northern America
801,Eric Torres,(307) 555-0100,(307) 555-0101,Corporate,,Shell,WY,Wyoming,United States,North America,Americas,Northern America
802,Cosmina Vlad,(505) 555-0100,(505) 555-0101,Corporate,,CaÒon,NM,New Mexico,United States,North America,Americas,Northern America
803,Bala Dixit,(209) 555-0100,(209) 555-0101,Novelty Shop,,Termo,CA,California,United States,North America,Americas,Northern America
804,Aleksandrs Riekstins,(605) 555-0100,(605) 555-0101,Computer Store,,La Bolt,SD,South Dakota,United States,North America,Americas,Northern America
805,Ratan Poddar,(907) 555-0100,(907) 555-0101,Novelty Shop,,Ekwok,AK,Alaska,United States,North America,Americas,Northern America
806,Shi Tu,(307) 555-0100,(307) 555-0101,Novelty Shop,,Sinclair,WY,Wyoming,United States,North America,Americas,Northern America
807,Gunnar Lohmus,(201) 555-0100,(201) 555-0101,Gift Store,,Wanaque,NJ,New Jersey,United States,North America,Americas,Northern America
808,Jackson Kolios,(209) 555-0100,(209) 555-0101,Computer Store,,Rail Road Flat,CA,California,United States,North America,Americas,Northern America
809,Madhu Dwivedi,(802) 555-0100,(802) 555-0101,Computer Store,,Panton,VT,Vermont,United States,North America,Americas,Northern America
810,Alena Kellnerova,(303) 555-0100,(303) 555-0101,Corporate,,Segundo,CO,Colorado,United States,North America,Americas,Northern America
811,Surendra Sahu,(210) 555-0100,(210) 555-0101,Novelty Shop,,Old River-Winfree,TX,Texas,United States,North America,Americas,Northern America
812,Celica Barajas,(270) 555-0100,(270) 555-0101,Supermarket,,Drakesboro,KY,Kentucky,United States,North America,Americas,Northern America
813,Shyam Poddar,(218) 555-0100,(218) 555-0101,Corporate,,Tenstrike,MN,Minnesota,United States,North America,Americas,Northern America
814,Johanna Hoornstra,(210) 555-0100,(210) 555-0101,Novelty Shop,,Petronila,TX,Texas,United States,North America,Americas,Northern America
815,Libuse Valentova,(270) 555-0100,(270) 555-0101,Novelty Shop,,Elkatawa,KY,Kentucky,United States,North America,Americas,Northern America
816,Harsha Huq,(314) 555-0100,(314) 555-0101,Gift Store,,Dennis Acres,MO,Missouri,United States,North America,Americas,Northern America
817,Agrita Kanepa,(201) 555-0100,(201) 555-0101,Supermarket,,Branchburg Park,NJ,New Jersey,United States,North America,Americas,Northern America
818,Liia Orav,(252) 555-0100,(252) 555-0101,Novelty Shop,,Bladenboro,NC,North Carolina,United States,North America,Americas,Northern America
819,Santiago Vera,(304) 555-0100,(304) 555-0101,Computer Store,,Nitro,WV,West Virginia,United States,North America,Americas,Northern America
820,Knut Svensson,(201) 555-0100,(201) 555-0101,Computer Store,,Madison Park,NJ,New Jersey,United States,North America,Americas,Northern America
821,Kwanjai Saowaluk,(787) 555-0100,(787) 555-0101,Supermarket,,CataÒo,PR,Puerto Rico (US Territory),United States,North America,Americas,Northern America
822,Suparna Bhattacharya,(314) 555-0100,(314) 555-0101,Supermarket,,Tiff City,MO,Missouri,United States,North America,Americas,Northern America
823,Francisca Laureano,(319) 555-0100,(319) 555-0101,Gift Store,,Jolley,IA,Iowa,United States,North America,Americas,Northern America
824,Risto Valbe,(205) 555-0100,(205) 555-0101,Supermarket,,Bazemore,AL,Alabama,United States,North America,Americas,Northern America
825,Jayanta Thakur,(276) 555-0100,(276) 555-0101,Gift Store,,Raven,VA,Virginia,United States,North America,Americas,Northern America
826,Leila Carvalho,(217) 555-0100,(217) 555-0101,Novelty Shop,,Spillertown,IL,Illinois,United States,North America,Americas,Northern America
827,Crina Grasu,(308) 555-0100,(308) 555-0101,Computer Store,,Tamora,NE,Nebraska,United States,North America,Americas,Northern America
828,Sercan Celik,(217) 555-0100,(217) 555-0101,Gift Store,,Tolono,IL,Illinois,United States,North America,Americas,Northern America
829,Jack Walker,(316) 555-0100,(316) 555-0101,Supermarket,,Elbing,KS,Kansas,United States,North America,Americas,Northern America
830,Jana Fialova,(215) 555-0100,(215) 555-0101,Novelty Shop,,Weigelstown,PA,Pennsylvania,United States,North America,Americas,Northern America
831,Bhaavan Rai,(308) 555-0100,(308) 555-0101,Corporate,,Chalco,NE,Nebraska,United States,North America,Americas,Northern America
832,Aakriti Byrraju,(216) 555-0100,(216) 555-0101,Supermarket,,Glenwillow,OH,Ohio,United States,North America,Americas,Northern America
833,Devraj Rao,(385) 555-0100,(385) 555-0101,Novelty Shop,,Westwater,UT,Utah,United States,North America,Americas,Northern America
834,Cong Hoa,(212) 555-0100,(212) 555-0101,Gift Store,,Palatine Bridge,NY,New York,United States,North America,Americas,Northern America
835,Dominic Davignon,(209) 555-0100,(209) 555-0101,Supermarket,,Twin Peaks,CA,California,United States,North America,Americas,Northern America
836,Abel Spirlea,(218) 555-0100,(218) 555-0101,Novelty Shop,,Markville,MN,Minnesota,United States,North America,Americas,Northern America
837,Anil Sarkar,(215) 555-0100,(215) 555-0101,Supermarket,,Gardners,PA,Pennsylvania,United States,North America,Americas,Northern America
838,Pavel Bogdanov,(339) 555-0100,(339) 555-0101,Corporate,,New Braintree,MA,Massachusetts[E],United States,North America,Americas,Northern America
839,Juan Morse,(423) 555-0100,(423) 555-0101,Novelty Shop,,Greenback,TN,Tennessee,United States,North America,Americas,Northern America
840,Rodrigo Figueiredo,(803) 555-0100,(803) 555-0101,Novelty Shop,,Blackville,SC,South Carolina,United States,North America,Americas,Northern America
841,Camille Authier,(252) 555-0100,(252) 555-0101,Gift Store,,Abbottsburg,NC,North Carolina,United States,North America,Americas,Northern America
842,Biju Deb,(218) 555-0100,(218) 555-0101,Gift Store,,Deer River,MN,Minnesota,United States,North America,Americas,Northern America
843,Marija Justina Pasek,(215) 555-0100,(215) 555-0101,Corporate,,Marguerite,PA,Pennsylvania,United States,North America,Americas,Northern America
844,Durdanah Abbasi,(201) 555-0100,(201) 555-0101,Supermarket,,Laurence Harbor,NJ,New Jersey,United States,North America,Americas,Northern America
845,Emilie Hrdlickova,(803) 555-0100,(803) 555-0101,Corporate,,New Zion,SC,South Carolina,United States,North America,Americas,Northern America
846,Malorie Bousquet,(209) 555-0100,(209) 555-0101,Gift Store,,Valley View Park,CA,California,United States,North America,Americas,Northern America
847,Kristiina Ivanov,(605) 555-0100,(605) 555-0101,Computer Store,,Wounded Knee,SD,South Dakota,United States,North America,Americas,Northern America
848,Alvin Bollinger,(270) 555-0100,(270) 555-0101,Computer Store,,Creelsboro,KY,Kentucky,United States,North America,Americas,Northern America
849,Sabine Zalite,(210) 555-0100,(210) 555-0101,Supermarket,,Haltom City,TX,Texas,United States,North America,Americas,Northern America
850,Daakshaayaani Sankaramanchi,(319) 555-0100,(319) 555-0101,Gift Store,,Spillville,IA,Iowa,United States,North America,Americas,Northern America
851,Ebru Erdogan,(405) 555-0100,(405) 555-0101,Gift Store,,Seiling,OK,Oklahoma,United States,North America,Americas,Northern America
852,Bhagavaan Atluri,(229) 555-0100,(229) 555-0101,Supermarket,,Coosa,GA,Georgia,United States,North America,Americas,Northern America
853,Caterina Pinto,(907) 555-0100,(907) 555-0101,Gift Store,,Akhiok,AK,Alaska,United States,North America,Americas,Northern America
854,Daakshaayaani Kommineni,(239) 555-0100,(239) 555-0101,Novelty Shop,,Bakers Mill,FL,Florida,United States,North America,Americas,Northern America
855,Anna Mazzanti,(314) 555-0100,(314) 555-0101,Computer Store,,Humansville,MO,Missouri,United States,North America,Americas,Northern America
856,Satish Mittal,(215) 555-0100,(215) 555-0101,Corporate,,Dry Run,PA,Pennsylvania,United States,North America,Americas,Northern America
857,Clarissa Manfrin,(210) 555-0100,(210) 555-0101,Gift Store,,Ben Arnold,TX,Texas,United States,North America,Americas,Northern America
858,Bimla PrabhupƒÅda,(209) 555-0100,(209) 555-0101,Novelty Shop,,Yermo,CA,California,United States,North America,Americas,Northern America
859,Shah Alizadeh,(304) 555-0100,(304) 555-0101,Gift Store,,Gassaway,WV,West Virginia,United States,North America,Americas,Northern America
860,Marcela Lucescu,(231) 555-0100,(231) 555-0101,Corporate,,Ewen,MI,Michigan,United States,North America,Americas,Northern America
861,Amarasimha Vinjamuri,(339) 555-0100,(339) 555-0101,Supermarket,,North Brookfield,MA,Massachusetts[E],United States,North America,Americas,Northern America
862,Lana Goransson,(212) 555-0100,(212) 555-0101,Supermarket,,Chateaugay,NY,New York,United States,North America,Americas,Northern America
863,Jakub Lukes,(212) 555-0100,(212) 555-0101,Corporate,,Eagle Valley,NY,New York,United States,North America,Americas,Northern America
864,Mikhail Degtyarev,(218) 555-0100,(218) 555-0101,Computer Store,,Beaver Bay,MN,Minnesota,United States,North America,Americas,Northern America
865,Bijoya Thakur,(225) 555-0100,(225) 555-0101,Gift Store,,Kinder,LA,Louisiana,United States,North America,Americas,Northern America
866,Jay Bhuiyan,(215) 555-0100,(215) 555-0101,Gift Store,,Mount Pocono,PA,Pennsylvania,United States,North America,Americas,Northern America
867,Jasna Cerkez,(304) 555-0100,(304) 555-0101,Computer Store,,Elk Garden,WV,West Virginia,United States,North America,Americas,Northern America
868,Laura Sykorova,(316) 555-0100,(316) 555-0101,Novelty Shop,,Coyville,KS,Kansas,United States,North America,Americas,Northern America
869,Abel Tatarescu,(217) 555-0100,(217) 555-0101,Novelty Shop,,La Grange Park,IL,Illinois,United States,North America,Americas,Northern America
870,In-Su Bae,(206) 555-0100,(206) 555-0101,Gift Store,,Meadowdale,WA,Washington,United States,North America,Americas,Northern America
871,Darshana Madhunapantula,(240) 555-0100,(240) 555-0101,Computer Store,,Tolchester Beach,MD,Maryland,United States,North America,Americas,Northern America
872,Katerina Hadrabova,(219) 555-0100,(219) 555-0101,Corporate,,La Paz,IN,Indiana,United States,North America,Americas,Northern America
873,Hana Hlouskova,(505) 555-0100,(505) 555-0101,Supermarket,,Moquino,NM,New Mexico,United States,North America,Americas,Northern America
874,Daniel Martensson,(225) 555-0100,(225) 555-0101,Novelty Shop,,Mamou,LA,Louisiana,United States,North America,Americas,Northern America
875,Philip Walker,(216) 555-0100,(216) 555-0101,Novelty Shop,,Waite Hill,OH,Ohio,United States,North America,Americas,Northern America
876,Marie LeBatelier,(210) 555-0100,(210) 555-0101,Novelty Shop,,Coupland,TX,Texas,United States,North America,Americas,Northern America
877,Leyla Siavashi,(201) 555-0100,(201) 555-0101,Gift Store,,Marcella,NJ,New Jersey,United States,North America,Americas,Northern America
878,Miriam House,(701) 555-0100,(701) 555-0101,Corporate,,Makoti,ND,North Dakota,United States,North America,Americas,Northern America
879,Jitka Necesana,(212) 555-0100,(212) 555-0101,Computer Store,,Conesus Lake,NY,New York,United States,North America,Americas,Northern America
880,Edmee Glissen,(208) 555-0100,(208) 555-0101,Computer Store,,McCammon,ID,Idaho,United States,North America,Americas,Northern America
881,Magdalena Michnova,(907) 555-0100,(907) 555-0101,Computer Store,,Wrangell,AK,Alaska,United States,North America,Americas,Northern America
882,Maryann Huddleston,(304) 555-0100,(304) 555-0101,Gift Store,,Robertsburg,WV,West Virginia,United States,North America,Americas,Northern America
883,Radha Barua,(405) 555-0100,(405) 555-0101,Gift Store,,McQueen,OK,Oklahoma,United States,North America,Americas,Northern America
884,Anindya Ghatak,(219) 555-0100,(219) 555-0101,Computer Store,,Switz City,IN,Indiana,United States,North America,Americas,Northern America
885,Chandrashekhar Dasgupta,(208) 555-0100,(208) 555-0101,Corporate,,New Plymouth,ID,Idaho,United States,North America,Americas,Northern America
886,Debbie Molina,(270) 555-0100,(270) 555-0101,Supermarket,,Garlin,KY,Kentucky,United States,North America,Americas,Northern America
887,Baran Jonsson,(458) 555-0100,(458) 555-0101,Supermarket,,Cave Junction,OR,Oregon,United States,North America,Americas,Northern America
888,Jai Lamble,(479) 555-0100,(479) 555-0101,Corporate,,Grider,AR,Arkansas,United States,North America,Americas,Northern America
889,Sointu Savonheimo,(701) 555-0100,(701) 555-0101,Gift Store,,Argusville,ND,North Dakota,United States,North America,Americas,Northern America
890,Olya Izmaylov,(210) 555-0100,(210) 555-0101,Computer Store,,Flowella,TX,Texas,United States,North America,Americas,Northern America
891,Taneli Riutta,(276) 555-0100,(276) 555-0101,Supermarket,,Sandy Level,VA,Virginia,United States,North America,Americas,Northern America
892,Bahaar Asef zade,(225) 555-0100,(225) 555-0101,Supermarket,,Alden Bridge,LA,Louisiana,United States,North America,Americas,Northern America
893,Leyla Asef zade,(216) 555-0100,(216) 555-0101,Novelty Shop,,West Elkton,OH,Ohio,United States,North America,Americas,Northern America
894,Gabriela Hernandes,(239) 555-0100,(239) 555-0101,Corporate,,Cypress Quarters,FL,Florida,United States,North America,Americas,Northern America
895,Geza Roman,(215) 555-0100,(215) 555-0101,Corporate,,Oval,PA,Pennsylvania,United States,North America,Americas,Northern America
896,Leonardo Folliero,(339) 555-0100,(339) 555-0101,Supermarket,,Cotuit,MA,Massachusetts[E],United States,North America,Americas,Northern America
897,Allan Mannik,(218) 555-0100,(218) 555-0101,Corporate,,Lake Crystal,MN,Minnesota,United States,North America,Americas,Northern America
898,Gopalgobinda Sikdar,(307) 555-0100,(307) 555-0101,Computer Store,,Orpha,WY,Wyoming,United States,North America,Americas,Northern America
899,Chin-Sun Chang,(605) 555-0100,(605) 555-0101,Corporate,,Capa,SD,South Dakota,United States,North America,Americas,Northern America
900,Lilli Sokk,(229) 555-0100,(229) 555-0101,Gift Store,,Gresston,GA,Georgia,United States,North America,Americas,Northern America
901,Adrian Andreasson,(217) 555-0100,(217) 555-0101,Corporate,,Du Quoin,IL,Illinois,United States,North America,Americas,Northern America
902,Kamila Michnova,(210) 555-0100,(210) 555-0101,Supermarket,,The Colony,TX,Texas,United States,North America,Americas,Northern America
903,Bing Han,(228) 555-0100,(228) 555-0101,Computer Store,,Darling,MS,Mississippi,United States,North America,Americas,Northern America
904,Olafs Rozitis,(316) 555-0100,(316) 555-0101,Corporate,,Sherwin,KS,Kansas,United States,North America,Americas,Northern America
905,Sara Huiting,(218) 555-0100,(218) 555-0101,Supermarket,,Bock,MN,Minnesota,United States,North America,Americas,Northern America
906,Ajitaab Pakalapati,(209) 555-0100,(209) 555-0101,Computer Store,,Caruthers,CA,California,United States,North America,Americas,Northern America
907,Eugen Agafitei,(252) 555-0100,(252) 555-0101,Supermarket,,Shawboro,NC,North Carolina,United States,North America,Americas,Northern America
908,Sumati Bhat,(206) 555-0100,(206) 555-0101,Novelty Shop,,Harbour Pointe,WA,Washington,United States,North America,Americas,Northern America
909,Dena Glissen,(316) 555-0100,(316) 555-0101,Supermarket,,Coffeyville,KS,Kansas,United States,North America,Americas,Northern America
910,Elina Kaleja,(225) 555-0100,(225) 555-0101,Gift Store,,Golden Meadow,LA,Louisiana,United States,North America,Americas,Northern America
911,Liidia Lepp,(276) 555-0100,(276) 555-0101,Gift Store,,Oakpark,VA,Virginia,United States,North America,Americas,Northern America
